name,bio
Kingdew,Kingdew is the former 11th division commander of the Whitebeard Pirates.
Kinoko,"Kinoko is a former prisoner on Level 5 of Impel Down and is currently a member of the Buggy Pirates, joining after his escape from Impel Down and the Summit War of Marineford."
Kirinkodanuki,"Kirinkodanuki is an animal who lives on the Island of Rare Animals. Like all the animals on the island, he is protected by Gaimon."
Kirintauros,"Kirintauros is a former member of the Centaur Patrol Unit under Brownbeard, having served as one of Caesar Clown’s henchmen. He is a giraffe centaur."
Kisegawa,Kisegawa is a geisha from the Flower Capital of Wano Country. She once possessed the blueprints of Kaidou's fortress on Onigashima.
Kitton,"Kitton is a boy who lives in Karakuri Island. He has a grandfather who takes care of him, as well as a cyborg dog named Taroimo."
Koala,"Koala is a high ranking officer of the Revolutionary Army, serving as the Fish-Man Karate assistant instructor. She started as a slave on Mary Geoise, but was then set free by Fisher Tiger's rampage."
Koala Mercenaries,The Koala Mercenaries are a trio of bodyguards who watch over Rain Dinners.
Kobe,Kobe is a resident of the Flower Capital in Wano Country and the landlord for the Longhouses. He once possessed the blueprints of Kaidou's fortress on Onigashima.
Koby,"Koby the Hero is a Marine Captain, currently serving in the SWORD special forces unit. Alongside fellow SWORD member Helmeppo, he was trained and mentored into prominence under the legendary Vice Admiral Garp."
Koda,"Koda is a Marine Chef, Kyuji's wife and mother of Moda."
Koito,Koito is a young girl residing in Ebisu Town of the Wano Country.
Koiwa,Koiwa is a man who lived in the Wano Country 41 years ago.
Kojuro,"Kojuro is a samurai who allied with the Kouzuki Family. After waiting 20 years for the return of the Nine Red Scabbards, he affiliated with the Ninja-Pirate-Mink-Samurai Alliance to raid Onigashima."
Kokoro,"Kokoro is an icefish mermaid and the stationmaster for Shift Station, a Sea Train station near Water 7. She was also Tom's secretary during the days of Tom's Workers."
Komachiyo,Komachiyo is a komainu that resides in the Kuri region of Wano Country. It has been Kurozumi Tama's best friend since their childhood.
Komane,"Komane is the deposed princess of the Lulusia Kingdom, being the daughter of the former king Seki."
Konbu,Konbu is a child who lived in Punk Hazard's Biscuits Room. He was freed with the rest of the children by the Straw Hat Pirates.
Kong,Kong is the Commander-in-Chief of the World Government. He was a Fleet Admiral of the Marines at the time of the Battle of Edd War twenty-seven years ago.
Kop,Kop is a member of the Franky Family.
Koshi Falcon,Koshi Falcon is a Gifter in the Beasts Pirates.
Kotatsu,Kotatsu is a member of the Spade Pirates.
Koushirou,"Shimotsuki Koushirou is a member of the Shimotsuki Family and a master swordsman, he was both the teacher of as well as the distant relative of Roronoa Zoro. He is also the father of the late Shimotsuki Kuina and son of Shimotsuki Kouzaburou."
Kouzuki Hiyori,"Kouzuki Hiyori is the daughter of the late Kouzuki Oden and Kouzuki Toki and the younger sister of Kouzuki Momonosuke. To hide her identity, Hiyori became known as Komurasaki, working as an oiran of the tayū rank, the highest of all."
Kouzuki Momonosuke,"Kouzuki Momonosuke is the current shogun of Wano Country. A member of the Kouzuki Family, he is the son of the late daimyo of Kuri Kouzuki Oden and his wife Toki, the grandson of the former shogun Sukiyaki, and the older brother of Hiyori."
Kouzuki Oden,"Kouzuki Oden was the daimyo of Kuri in Wano Country and the son of the former shogun Kouzuki Sukiyaki, being a member of the Kouzuki Family. He was the husband of Kouzuki Toki and the father of Momonosuke and Hiyori."
Kouzuki Toki,"Kouzuki Toki, née Amatsuki, was the wife of the daimyo of Kuri, Kouzuki Oden and the mother of Kouzuki Momonosuke and Kouzuki Hiyori. She was born around 830 years before the present day."
Koza,"Koza is Princess Nefertari Vivi's childhood friend. As a child, he was the leader of the Sand-Sand Clan."
Krieg,"Don Krieg is the admiral of the Krieg Pirates, widely reputed as Foul-Play Krieg for his underhanded methods. At his height, he was also known as the Pirate Fleet Admiral, commanding a fleet of fifty ships (totaling some 5,000 pirates ) throughout the East Blue."
Kuina,"Shimotsuki Kuina was a childhood friend, relative and rival of Roronoa Zoro. She was the daughter of Shimotsuki Koushirou and the granddaughter of Shimotsuki Kouzaburou making her a descendant of Wano Country's famed Shimotsuki Family."
Kujaku,Kujaku is a Marine Rear Admiral stationed at Marine Base G-14 and also a member of SWORD. She is the granddaughter of Marine Vice Admiral Tsuru.
Kukai,Kukai is a samurai and member of the Spade Pirates.
Kumadori,"Kumadori is an agent of CP0. Before the time skip, he was an agent of CP9."
Kumagoro,Kumagoro is a resident of the Flower Capital in Wano Country. He once possessed the blueprints of Kaidou's fortress on Onigashima.
Kumashi,"Kumashi was a stuffed bear zombie of the Thriller Bark Pirates who acted as Perona's servant and the commander-in-chief of the Wild Zombies prior to being purified by Usopp. Due to his actions and role, he is a supporting antagonist in the Thriller Bark Arc."
Kuni,Kuni is a gangster and a member of the Kyoshiro Family in Wano Country.
Kunyun,"Kunyun is a member of the Numbers in the Beasts Pirates, representing the number ""nine"". She works under Black Maria."
Kureha,Dr. Kureha is an elderly doctor who works on Drum Island.
Kuro,"Kuro of a Hundred Plans is the captain of the Black Cat Pirates. After faking his own capture and execution, he assumed the alias Klahadore and infiltrated Syrup Village's wealthiest family, acting as servant and caretaker to their young daughter Kaya with the intent of seizing her fortune."
Kuromarimo,"Kuromarimo was the evil magistrate during Wapol's rule on Drum Island, and was the highest-ranking law officer below Wapol. After fleeing Drum Island to escape Blackbeard's attack, Kuromarimo became part of the Bliking Pirates."
Kuroobi,"Kuroobi is a ray fish-man and an officer of the Arlong Pirates, who was once a member of the Sun Pirates. He is one of the major antagonists of the Arlong Park Arc."
Kurosawa,"Kurosawa is a samurai who allied with the Kouzuki Family. After waiting 20 years for the return of the Nine Red Scabbards, he affiliated with the Ninja-Pirate-Mink-Samurai Alliance to raid Onigashima."
Kurotsuru,"Dr. Kurotsuru, also named ""Dr."
Kurozumi Higurashi,Kurozumi Higurashi was a member of the Kurozumi Family and a major supporter of Kurozumi Orochi. She was killed by Kaidou for her interruption in his fight with Kouzuki Oden.
Kurozumi Orochi,"Kurozumi Orochi was the former shogun of Wano Country and one of the last members of the Kurozumi Family. Persecuted in his youth due to his grandfather's failed attempt to seize the shogunate from the Kouzuki Family, Orochi encountered some relatives who helped him formulate another attempt to become shogun."
Kurozumi Semimaru,Kurozumi Semimaru was a member of the Kurozumi Family and a major supporter of Kurozumi Orochi.
Kuzan,"Kuzan, better known by his alias Aokiji, is one of the Ten Titanic Captains of the Blackbeard Pirates, serving as the captain of the tenth ship of the fleet. Before joining Blackbeard's crew, he served as a Marine Admiral, having been taught by Monkey D. Garp."
Kyo,"Kyo, also known as Silver Axe, is a mobster-turned- pirate, a former member of the Rocks Pirates, and a rival of Shiki."
Kyros,"Kyros is a legendary gladiator who fought in the Corrida Colosseum until he left to become captain of the royal army of Dressrosa. He was later turned into a toy, causing everyone to forget his existence, becoming a One-Legged Soldier, also known as the "" Thunder Soldier of Rage ""."
Kyuin,"Kyuin is a former member of the Donquixote Pirates, and the former boss of the SMILE Factory on Dressrosa."
Kyuji,"Kyuji is a Marine chef, Koda's husband, and Moda's father."
Kyukyu,Dr. Kyukyu is a doctor in Water 7.
Laboon,"Laboon is an Island Whale the Straw Hat Pirates encounter immediately after entering the Grand Line. He is native to the West Blue and is classified as a Type A creature, ""Big Friendly"", and at the top of both the size and friendliness scale."
Lacroix,Vice Admiral Lacroix is a Marine vice admiral and a member of the Giant Squad.
Lacuba,Lacuba is a pirate famed as a devious tactician who was captured and taken to the Human Auctioning House.
Lady Tree,Lady Tree is a tree homie living in the Seducing Woods on Whole Cake Island. She's also Kingbaum's fiancée.
Laffitte,"Laffitte, nicknamed ""Demon Sheriff"", is the navigator and one of the Ten Titanic Captains of the Blackbeard Pirates, serving as the captain of the fifth ship of the fleet. He is also a former West Blue policeman known for countless acts of police brutality, which resulted in his exile from that sea."
Lao G,"Lao G is an officer of the Donquixote Pirates ' Diamante Army. Due to his actions and role, he is a supporting antagonist during the Dressrosa Arc."
Laskey,Laskey is a former CP9 agent and the father of current Cipher Pol agents Kalifa and Alpha.
Lassoo,Lassoo is Mr. 4's gun that consumed a Devil Fruit through some unknown method which allows it to become a living dog.
Lemoncheese,Lemoncheese is the queen of the Bestland Kingdom and one of fifty monarchs who took part in the Levely.
Leo,"""Warrior"" Leo is a dwarf from the Tontatta Kingdom and the leader of the "" Tonta Corps "", which was later reformed as a pirate crew now known as the Tontatta Pirates, with Leo now acting as the captain. He is the captain of the fifth ship of the Straw Hat Grand Fleet."
Leonero,Leonero is a member of the Spade Pirates.
Lilith,"Lilith, also designated as Punk-02 ( PUNK-02, Panku-Tsū? ), is one of six satellites of Dr."
Lily,Lily was a member of the Bellamy Pirates. She was first seen with Sarquiss on Jaya Island.
Lim,Lim is a young woman who lives on Waford as the Sky Priestess. She is a descendant of Rita Suerte.
Limejuice,Limejuice is one of the Senior Officers of the Red Hair Pirates.
Linaria,"""Igniting"" Linaria is the captain of the Night Butterfly Pirates, a crew subordinate to the Red Hair Pirates."
Lindbergh,"Lindbergh, or ""Lind"" for short, is a cat mink and the commander of the Revolutionary Army's South Army."
Lines,Seaman First Class Lines is a former subordinate of Fullbody from his time as a lieutenant.
Lionbuta,"Lionbuta is an animal who lives on the Island of Rare Animals. Like all the animals on the island, he is protected by Gaimon."
Lip Doughty,"Lip ""Service"" Doughty was one of the rookies who had joined the ranks of the Fake Straw Hat Crew. He had a bounty of 88,000,000."
Loki,"Loki is the prince of Elbaph, being the son of King Harald and Queen Estrid, the younger half-brother of Hajrudin, and the foster son of Ida. An outcast since childhood, Loki was tasked by Harald to kill him to spare Elbaph from the World Government's attempt to control the giants."
Lola,"Charlotte Lola is the captain of the Rolling Pirates and the 23rd daughter and 53rd child of the Charlotte Family. Her mother is the former Emperor Charlotte Linlin and her father is Linlin's 25th husband, Pound."
Lola (Zombie),"Lola was a Wild Zombie created by Dr. Hogback and animated by Gecko Moria's powers, using the shadow of Charlotte Lola."
Lonz,Vice Admiral Lonz is a Marine vice admiral who is also part of the Giant Squad.
Lord of the Coast,"The Lord of the Coast is a Sea King that inhabits the waters of Dawn Island, typically near Foosha Village. He is classified as a Type C creature, ""Big Savage""."
Love,Love is a Baroque Works Millions agent stationed at Whisky Peak.
Lu Feld,"Lu Feld, known as the ""God of Fortune"", is the ""Loan Shark King"". He is a member of the Lu Feld Conglomerate, the former financer of MADS, and an emperor of the Underworld."
Lucky Roux,"Lucky Roux is one of the Senior Officers, and the cook of the Red Hair Pirates."
Lulis,Lulis is a marine angelfish mermaid and is an employee at Mermaid Cafe.
MAX Marx,MAX Marx was the cook of the Roger Pirates until the crew's dissolution. His current whereabouts and status are unknown.
Machvise,"Machvise is an officer of the Donquixote Pirates ' Diamante Army. Due to his actions and role, he is a supporting antagonist during the Dressrosa Arc."
Macro,Macro is a pelican eel fish-man and the captain of the Macro Pirates. He first appeared in Hatchan's Sea-Floor Stroll cover story.
Madilloman,Madilloman is a Gifter in the Beasts Pirates.
Mag,Mag is a student at the Walrus School on Elbaph.
Magellan,"Magellan is the vice warden of Impel Down. He was formerly the chief warden, but after his failure to stop the jail's one and only mass-breakout, he was replaced by Hannyabal and demoted to vice warden."
Magnolia,"Magnolia was the mother of Shamrock and Shanks, and the lover of Figarland Garling. A native of God Valley, she was killed during the prelude of the God Valley Incident by Garling."
Magra,Magra is a member of the Dadan Family that are active on Mt. Colubo on Dawn Island.
Maha,"Maha is a masked agent of CP0. Due to his actions and role, he is a supporting antagonist during the Wano Country Arc."
Maidy,"Maidy is a servant of the Nefertari Family, working as a lady's maid in Alubarna Palace."
Maki,Maki is a member of the Blackbeard Pirates.
Makino,"Makino is the owner and bartender of Partys Bar in Foosha Village, Monkey D. Luffy's home town. She is also the mother of an unknown child."
Makino's Child,Makino's child is an unnamed baby born to Makino and an unknown man during the two-year timeskip.
Makko,Ensign Makko is a senior member of Hina's death squad who was on one of the ships that attacked the Straw Hat Pirates as they fled Arabasta.
Manboshi,Manboshi is an opah merman and the third son of the royal Neptune Family on Fish-Man Island.
Mani,Mani was a combatant of the Bellamy Pirates.
Manjaro,"Manjaro is a member of the Fake Straw Hat Crew and masqueraded as Zoro. When the crew switched to posing as the Kid Pirates, Manjaro impersonated Heat."
Manmayer Gunko,"Saint Manmayer Gunko is a World Noble and a member of the Knights of God. Previously, she was a Devoted Blade of God serving under the Knights of God 38 years ago during the events of the God Valley Incident."
Mansherry,"Mansherry is a dwarf and the princess of the Tontatta Kingdom. She is the daughter of Gancho, the king of the Tontatta Kingdom."
Marco,"Marco the Phoenix is the former 1st division commander of the Whitebeard Pirates. Once starting out as an apprentice on the crew, he eventually came to be Whitebeard's closest confidant and right-hand man."
Marcus Mars,"Saint Marcus Mars is a World Noble and one of the Five Elders who publicly head the World Government, holding the title of Warrior God of Environment. Due to his actions and role, he is one of the secondary antagonists of the Egghead Arc."
Margarita,Margarita is the owner of the shadow that was inserted into Victoria Cindry's corpse twelve years ago. She currently works as a maid for Egana.
Marguerite,"Marguerite is a member of the Kuja tribe living on the island of Amazon Lily. She, along with Aphelandra and Sweet Pea, saved Luffy after he ate mushrooms that completely covered his body."
Mari,Mari is the king of the Czacho Kingdom and one of fifty monarchs who took part in the Levely.
Maria Napole,Maria Napole is a largehead hairtail mermaid and a famous singer considered the pride of Fish-Man Island.
Marianne,"Marianne, also known as the ""Flag-Bearer of Freedom"" and more commonly by her alias Miss Goldenweek, is a former officer agent of Baroque Works and the partner of Mr. 3."
Marie,"Marie is the thirteenth wife of Saint Charlos. Before being enslaved by Charlos, she worked as a nurse in the Sabaody Archipelago, and was the fiancée of Judy."
Marilyn,Marilyn is a woman that lives in Skypiea. She was Miss Skypiea forty-two years ago.
Marin,Marin is a male slave who was forced to dress as a mermaid by his owner.
Marine Headquarters Court,The Marine Headquarters Court consists of three judges and was seen in Jango's cover story.
Mario,Mario is a dog that tore off the arm of a toy citizen of Dressrosa.
Marlon,"Don Marlon was a member of the Rocks Pirates and a gangster from the West Blue. He joined Rocks D. Xebec after losing a Davy Back Fight, but was later killed during the World Government's abduction of Shakuyaku."
Marshall D. Teach,"Marshall D. Teach, most commonly referred to by his epithet ""Blackbeard"", is the admiral of the Blackbeard Pirates, and one of the Four Emperors that rule over the New World. He is the son of the legendary pirate Rocks D. Xebec and his wife Eris, making him a member of the nearly-extinct Davy Family and a descendant of Davy D. Jones, which is only known to a small number of individuals, including his own crew, the Five Elders, and Nerona Imu."
Marumieta,"Marumieta is the only daughter of Bimine, the mayor of Pucci."
Mashikaku,"Chief Petty Officer Mashikaku is a subordinate of Smoker and Tashigi. However, it is unknown if he remained with the two after they transferred to G-5 as he is not seen with the G-5 Marines."
Masira,"""Salvage King"" Masira is the boss of the Masira Pirates and the head of a simian ship salvage operation near Jaya Island. His sworn brother is Shoujou and both of them are members of the Saruyama Alliance, headed by Mont Blanc Cricket."
Masked Deuce,"Masked Deuce is an alias used by the first member of Ace's pirate crew, the Spade Pirates, usually referred to as just ""Deuce"" or ""Deu"". He abandoned his real name, which remains unknown, but is known to have come from a prominent East Blue family of medical professionals."
Massui,Massui is a Waiter in the Beasts Pirates.
Mato,Mato is a notorious giant bartendress from Elbaph.
Matryo Princesses,"The Matryo Princesses are the princesses of the Roshwan Kingdom. Their names, in order from largest to smallest, are Matryosaka, Matryosuka, Matryoseka, and Matryosoka."
Matsuge,"Matsuge is a yasa camel who accompanied the Straw Hat Pirates during the Arabasta Arc. He is classified as a Type-A creature, ""Big Friendly"" and currently works as a member of the Super Spot-Billed Duck Troops."
Maujii,Maujii is a dwarf from Tontatta Kingdom and the aide of Princess Mansherry.
Maynard,"Maynard the Pursuer is a vice admiral who appears in the Dressrosa Arc. He was registered as a gladiator to compete at the Corrida Colosseum for the Mera Mera no Mi, but was defeated before he could participate."
Mayushika,Mayushika is one of the Shandia warriors who fought against Enel.
McGuy,"""Thunder Lord"" McGuy is an infamous New World pirate captain who allied with Whitebeard."
McKinley,"McKinley is a member of God Guardians (previously known as the White Berets), Skypiea's police force. He initially serves as a minor antagonist in the Skypiea Arc, but later becomes an (indirect) ally to the Straw Hat Pirates."
Meadows,Meadows is a gladiator who competed in the Corrida Colosseum for the Mera Mera no Mi.
Mecha-Shark,The Mecha-Shark is a cyborg shark created by Vegapunk alongside the Sea Beast Weapons.
Medaka Mermaid Quintuplets,"The Medaka Mermaid Quintuplets are five young Japanese rice fish mermaids who are friends with Camie. Their names are Ichika, Nika, Sanka, Yonka, and Yonka Two."
Megalo,Megalo is a shark that lives on Fish-Man Island. He is the beloved pet of princess Shirahoshi and former pet of the Neptune Army.
Mero,Mero is a smelt-whiting mermaid and an employee of the Mermaid Cafe.
Merry,"Merry is Kaya's butler, and the original designer of the Going Merry. He is an ally of the Straw Hat Pirates during the Syrup Village Arc."
Mezasuzowan Pisuo,Mezasuzowan Pisuo is a member of the Germ Pirates.
Michael and Hoichael,"Michael and Hoichael are two troublemaker children in the backstreets of Water 7. They idolize Franky, and even dress like him and use his motto as their own: ""Mm, super!!"", and similarly idolize Paulie."
Mihar,"""Indoor"" Mihar is a member of the Spade Pirates and, subsequently, the Whitebeard Pirates."
Mikazuki,Mikazuki is the captain and only named member of the Big Helmet Pirates.
Mikio Itoo,"Mikio Itoo is a background joke character created by Eiichiro Oda, and arguably the first Easter Egg featured in One Piece. He is a caricature of Mikio Ito, a Yokohama-born manga creator whom Oda knew as a fellow assistant to Nobuhiro Watsuki."
Mikita,"""Courier"" Mikita, more commonly known by her alias Miss Valentine, is a former officer agent of Baroque Works who was partnered with Mr. 5."
Miles,Miles is a trumpetfish merman and a trumpeter in a swing jazz orchestra from Fish-Man Island.
Milky,Milky is a reindeer mink and a member of the Guardians.
Millet Pine,Millet Pine was the torturer of the Roger Pirates until the crew's dissolution.
Milo,"Milo is a citizen of Dressrosa. While he was a toy, he was known as "" Onepoco ""."
Minatomo,"Minatomo is a legendary carpenter in Wano Country and the leader of a guild that Franky joined to get access to the blueprints of Kaidou's fortress. He is related to another person, whose name is also Minatomo, who is a descendant of someone who traveled from Wano to East Blue."
Minister of the Left,"The Minister of the Left is a catfish merman in service of King Neptune. While it is not clear what his job entails, it appears to involve some sort of administrative and military duties."
Minister of the Right,"The Minister of the Right is a seahorse merman in service to King Neptune. While it is not clear exactly what his job entails, he appears to have some administrative and military duties."
Minochihuahua,Minochihuahua is the newest Jailer Beast in Impel Down. He is an Awakened Zoan Devil Fruit user who ate a fruit that allows him to turn into a chihuahua.
Minokoala,Minokoala is one of the five Jailer Beasts of Impel Down. He is an Awakened Zoan Devil Fruit user that ate a fruit that allows him to turn into a koala.
Minorhinoceros,"Minorhinoceros is one of the five Jailer Beasts of Impel Down. He is an Awakened Zoan Devil Fruit user, having eaten a Devil Fruit that allows him to turn into a blue rhinoceros."
Minoruba,Minoruba is a bounty hunter on Sabaody Archipelago.
Minotaurus,Minotaurus is one of Impel Down's Jailer Beasts. He is an awakened Zoan Devil Fruit user who ate a fruit that allows him to turn into a Holstein cow.
Minozebra,Minozebra is one of the five Jailer Beasts of Impel Down. He is an Awakened Zoan Devil Fruit user that ate a fruit that allows him to turn into a zebra.
Misery,"Misery is a homie created by Big Mom as an attack during the Raid on Onigashima. She is formed from the Maser Saber combination of Prometheus, Hera, and Napoleon."
Mishoin Cashible,Mishoin Cashible is a salesman based in Water 7 who rents bulls to ferry people around the canals.
Miss Catherina,"Miss Catherina is a former Baroque Works Millions agent who was stationed at Whisky Peak alongside her partner, Mr. Beans."
Miss Father's Day,"Miss Father's Day is a former Frontier Agent of Baroque Works, being half of a sniper duo along with her partner, Mr. 7."
Miss Friday,"Miss Friday is a vulture and a member of the criminal organization Baroque Works, being a part of the Unluckies ( 13, Anrakkīzu? ) along with Mr."
Miss Monday,Miss Monday is the code name of a former frontier agent of Baroque Works and partner to Igaram (Mr. 8 at the time) during his infiltration of Baroque Works.
Miss Mother's Day,Miss Mother's Day is the partner of Mr. 6 and a Frontier Agent in the Baroque Works rankings.
Miss Saturday,Miss Saturday is the partner of Mr. 12 and a Frontier Agent in the Baroque Works rankings.
Miss Thursday,Miss Thursday is the former partner of Mr. 11 and a Frontier Agent of Baroque Works.
Miss Tuesday,Miss Tuesday is the partner of Mr. 10 and a Frontier Agent in the Baroque Works rankings.
Misty,Misty is a Baroque Works Millions agent stationed at Whisky Peak.
Miyagi,"Miyagi is a goat mink and one of Inuarashi's subjects, until Carrot took the throne of Mokomo Dukedom."
Mizerka,"Mizerka is a Shinuchi in the Beasts Pirates. During the raid on Onigashima, she was tamed by the power of the Kibi Kibi no Mi and joined the side of the Ninja-Pirate-Mink-Samurai Alliance."
Mizuira,"Mizuira was a little girl from Ohara. She was the daughter of Oran and Roji, the niece of Nico Olvia, and the cousin of Nico Robin."
Mizuta Madaisuki,"Mizuta Madaisuki was the older of the two Mizuta Twins, identical twin brothers of the Rumbar Pirates. He and his brother, Mawaritosuki, were identified by Oda in a SBS question."
Mizuta Mawaritosuki,"Mizuta Mawaritosuki was the younger of the two Mizuta Twins, identical twin brothers of the Rumbar Pirates. He and his brother, Madaisuki, were identified by Oda in a SBS question."
Moai,Moai is a member of the Kid Pirates.
MocDonald,MocDonald was a Wild Zombie who lived on Thriller Bark.
Mocha,Mocha is a little girl who was held captive on Punk Hazard. She was freed with the rest of the children by the Straw Hat Pirates.
Mochi,Mochi is a Skypiean on Angel Island and Moyle's son.
Moda,Moda is a milk maiden from the Lulusia Kingdom that Ace met during his cover story. She is the daughter of Koda and Kyuji.
Mohji,"Mohji the Beast Tamer is a pirate and the first mate of the Buggy Pirates and a member of the Buggy and Alvida Alliance. He is a pet tamer, usually accompanied by his pet lion Richie."
Momonga,Vice Admiral Momonga is a Marine officer and the Base Commander of the G-1 Marine Base. He was one of the five Vice Admirals who had led the Buster Call on Enies Lobby.
Momoo,"Momoo is a giant sea cow from the Grand Line, and the first Sea Beast seen in the series. He is classified as a Type A creature, ""Big Friendly""."
Monda,Monda is a Star Shark and a former pet animal of the Foxy Pirates. He left the crew sometime during the Timeskip.
Monet,"Monet was a scout and assistant for Caesar Clown and his underlings in the research facility on Punk Hazard. She was, in truth, a member and officer of the Donquixote Pirates and was sent as a deep cover agent by Doflamingo."
Monjii,Monjii is a monkey mink.
Monjiro,"Monjiro is a samurai who allied with the Kouzuki Family. After waiting 20 years for the return of the Nine Red Scabbards, he affiliated with the Ninja-Pirate-Mink-Samurai Alliance to raid Onigashima."
Monkey D. Dragon,"Monkey D. Dragon, also known as the ""Rebellious Dragon"", is the supreme commander and founder of the Revolutionary Army (originally the Freedom Fighters ). A former Marine, his disgust with the organization's actions in the God Valley Incident, and its brutality in the Ohara Incident led to him forming the Revolutionary Army to oppose the World Government in its entirety."
Monkey D. Garp,"Monkey D. Garp, also known as ""Garp the Fist"", is an extremely famous and powerful Marine Vice Admiral. He is the father of Monkey D. Dragon, the paternal grandfather of Monkey D. Luffy, and the adoptive grandfather of Portgas D. Ace."
Monkey D. Luffy,"Monkey D. Luffy, commonly known as ""Straw Hat Luffy"" or simply ""Straw Hat"", is the founder and captain of the Straw Hat Pirates. He pursues the legendary treasure of the late Gol D. Roger in order to become the new Pirate King and reach a further, untold dream (currently known to only his crew, family and closest friends)."
Monster,Monster is one of the Senior Officers and musicians of the Red Hair Pirates. He first appeared playing with his crew at the Partys Bar.
Mont Blanc Cricket,"Mont Blanc Cricket is an inhabitant of Jaya, living in a small home behind the façade of a castle. He is the distant descendant of Mont Blanc Noland and the ""Last Boss"" of the Saruyama Alliance."
Mont Blanc Noland,"Mont Blanc Noland was an admiral in the Lvneel Kingdom and a famous explorer who made multiple trips into the Grand Line. He discovered a City of Gold on Jaya, but found upon returning there with Lvneel's king that it had disappeared, causing him to be executed."
Moodie,Moodie is a woman who Fullbody took to the Baratie.
Moon Isaac Jr.,Moon Isaac Jr. was a member of the Roger Pirates and their tactical staff officer until the crew's dissolution.
Moqueca,Moqueca is the king of the Samba Kingdom in the South Blue and one of fifty monarchs who took part in the Levely.
Morgan,"""Axe-Hand"" Morgan is a former Marine captain, the father of Helmeppo and the first significant Marine officer to appear in the storyline. After his defeat by Monkey D. Luffy and Roronoa Zoro, he was stripped of his rank for his many abuses of power."
Morgans,"""Big News"" Morgans is the president of the World Economy News Paper and one of the emperors of the Underworld. His first appearance was during the Whole Cake Island Arc, as one of the more high-profile guests in Big Mom's Tea Party."
Morley,"Morley of Fur is a giant and a newkama, as well as the commander of the West Army in the Revolutionary Army. Morley's existence was first alluded by Emporio Ivankov during the Impel Down Arc, as the one responsible for the creation of Newkama Land."
Mornin,"Mornin is the mayor of Syrup Village, and one of several villagers who used Usopp's antics as a makeshift alarm clock."
Mororon,Mororon is the queen of the Tajine Kingdom and one of fifty monarchs who took part in the Levely.
Mosa,Mosa is a mysterious friend of Loki.
Mosh,Mosh is a member of the Kid Pirates.
Motobaro,"Motobaro is the pet bison of Duval. He is used by Duval as a steed, and can also swim on water."
Mottled,Mottled is a Sea King. It is one of the six Sea Kings that speak to Shirahoshi when she fully manifests the power of Poseidon.
Motzel,Mr. Motzel is a gourmand and one of the known customers of the Baratie.
Mountain God,"The Mountain God, respectfully called Yama-san by Kouzuki Oden and his retainers, is a giant boar that lived in the forests of Wano Country as late as thirty years ago. In what became known as the Mountain God Incident, it was cut down by Kouzuki Oden during its attack on Flower Capital, but it ultimately survived the ordeal."
Mountain Ricky,Mountain Ricky is a former member of the Foxy Pirates. He fought George Mach before the third round of the Davy Back Fight.
Mouseman,Mouseman is a Gifter in the Beasts Pirates. He resides in Bakura Town.
Mousse,Mousse was the daughter of Kalgara and Herb and was considered the most beautiful of the Shandia women on the island of Jaya four hundred years ago.
Mouthto Mouthyan,Mouthto Mouthyan is a citizen of Dressrosa.
Moyle,"Moyle is a Skypiean and the father of Mochi. He originally worked for Gan Fall in the Divine Squad, but after Enel took over, he and the other members were forced to work in God's Army until they were betrayed and almost killed."
Mozambia,Vice Admiral Mozambia is a Marine officer who attended the meeting with the Seven Warlords of the Sea to discuss Crocodile's replacement.
Mozu and Kiwi,"Mozu and Kiwi, also known as the Square Sisters due to their square-like hairstyle, are two women from Water 7 who were part of the Franky Family. They were both very loyal to Franky, going with him everywhere and tending to imitate every pose he made."
Mr. 10,Mr. 10 is the partner to Miss Tuesday and a Frontier Agent in the Baroque Works rankings.
Mr. 11,Mr. 11 was a Frontier Agent for Baroque Works and the partner of Miss Thursday.
Mr. 12,Mr. 12 is the partner of Miss Saturday and a Frontier Agent in the Baroque Works rankings.
Mr. 13,"Mr. 13 is an otter and a member of the criminal organization Baroque Works, being a part of the Unluckies ( 13, Anrakkīzu?"
Mr. 6,Mr. 6 is the partner of Miss Mother's Day and the top Frontier Agent in the Baroque Works rankings.
Mr. 7,"Mr. 7 is a former Frontier Agent of Baroque Works, being half of a sniper duo along with his partner, Miss Father's Day."
Mr. 9,"Mr. 9 is the code name of a former Frontier Agent and bounty hunter of Baroque Works, and Miss Wednesday's former assigned partner during her infiltration."
Mr. Beans,"Mr. Beans is a former Baroque Works Millions agent who was stationed at Whisky Peak alongside his partner, Miss Catherina."
Mr. Love,Mr. Love is one of Baroque Works ' Billions [ citation needed ] who posed as a member of the Rebel Army.
Mr. Mellow,Mr. Mellow is one of the only identified members of Baroque Works ' Billions.
Mr. Momora,Mr. Momora was a member of the Roger Pirates until the crew's dissolution.
Mr. Shimizu,Mr. Shimizu was a Baroque Works Millions agent stationed at Whisky Peak.
Muchana,Muchana is a doctor who currently works in Impel Down's medical room.
Muginn,Muginn is a giant raven that lives in the Land of Gods.
Mugren,Colonel Mugren was a member of the Roger Pirates until the crew's dissolution. His current whereabouts and status are unknown.
Mukkashimi Tower,Mukkashimi Tower is a spectator at the Corrida Colosseum.
Mummy,Mummy is a sorcerer who joined as a gladiator at the Corrida Colosseum to compete for the Mera Mera no Mi.
Mummy Mee,"Mummy Mee is one of the houseparents, alongside Daddy Dee, of a World Government-affiliated orphanage situated on the Conomi Islands."
